KakaoTalk Chats with 사형집행소 -CH1 (8)
Date Saved : January 22, 2023, 11:00 PM


September 21, 2022, 5:12 PM
September 23, 2022, 10:28 PM, 이가은 : 환경파괴하면 안되지
September 23, 2022, 10:28 PM, 장동건 : 그치그치
September 23, 2022, 10:28 PM, 이가은 : 전기세도 아껴야하고...
September 23, 2022, 10:28 PM, 장동건 : 그치
September 23, 2022, 10:28 PM, 이가은 : 내가 간과했네...
September 23, 2022, 10:28 PM, 장동건 : 그렇치
September 23, 2022, 10:29 PM, 이가은 : Emoticons
September 23, 2022, 10:29 PM, 장동건 : Emoticons

September 24, 2022, 7:30 AM
September 24, 2022, 7:30 AM, 방장봇 : 해가 중천이여 🔆
일어나 이것들아
September 24, 2022, 1:50 PM, 가은 : 10시간 기절
September 24, 2022, 1:50 PM, 가은 : Emoticons
September 24, 2022, 2:28 PM, 육지향 :  ㅋㅋㅋㅋㅋ
September 24, 2022, 2:28 PM, 장동건 : 아 미친
September 24, 2022, 2:28 PM, 장동건 : 1시에 학원있는데
September 24, 2022, 2:28 PM, 장동건 : 지금 깸
September 24, 2022, 2:34 PM, 육지향 : ...?
September 24, 2022, 2:34 PM, 장동건 : 조때써..
September 24, 2022, 2:35 PM, 가은 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
September 24, 2022, 3:05 PM, 장동건 : Emoticons
September 24, 2022, 7:40 PM, 가은 : <Photo Unread>
September 24, 2022, 7:40 PM, 가은 : 편-안
September 24, 2022, 7:41 PM, 장동건 : (편안한 부분을 찾아보는중)
September 24, 2022, 7:41 PM, 가은 : 빨 노 초 파
September 24, 2022, 7:41 PM, 장동건 : 파란색 2갠데...?
September 24, 2022, 7:41 PM, 가은 : 걘 남으로 하자
September 24, 2022, 7:42 PM, 장동건 : 좋다
September 24, 2022, 7:42 PM, 장동건 : 빨간색이 북쪽에 있고 파랑이 남쪽에 있네...?
September 24, 2022, 7:49 PM, 육지향 : ,,,
September 24, 2022, 7:57 PM, 양유준 : ..
September 24, 2022, 7:57 PM, 양유준 : ?
September 24, 2022, 10:00 PM, 방장봇 : 발닦고 잠이나 자

September 25, 2022, 7:30 AM
September 25, 2022, 7:30 AM, 방장봇 : 해가 중천이여 🔆
일어나 이것들아
September 25, 2022, 5:31 PM, 장동건 : 조용하다
September 25, 2022, 5:49 PM, 육지향 : 셤기간이라고 생각하자
September 25, 2022, 5:49 PM, 장동건 : 그래서 그런건가..
September 25, 2022, 5:49 PM, 육지향 : 그럴 확률이 크지
September 25, 2022, 6:18 PM, 가은 : 땃쥐 해피 스카입니다
September 25, 2022, 6:18 PM, 가은 : 10일 남아서 공부중
September 25, 2022, 6:29 PM, 육지향 : 왜
September 25, 2022, 6:29 PM, 육지향 : 도대체 왜
September 25, 2022, 6:29 PM, 육지향 : 10일 남음?
September 25, 2022, 6:29 PM, 육지향 : 나 뭐함?
September 25, 2022, 6:30 PM, 장동건 : 카톡하고 있자늠
September 25, 2022, 6:30 PM, 육지향 : 아냐..
September 25, 2022, 6:30 PM, 장동건 : 해피한 땃쥐가 안내 고양이의 안내를..
September 25, 2022, 6:30 PM, 육지향 : ㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋ
September 25, 2022, 6:30 PM, 육지향 : ㅃㅇ..
September 25, 2022, 6:30 PM, 육지향 : 다시 감..
September 25, 2022, 6:30 PM, 장동건 : ㅖ 들어가세요
September 25, 2022, 6:34 PM, 가은 : ㅋㅋㅋㅋㅋㅋㅋㅠㅠ
September 25, 2022, 6:35 PM, 가은 : 은솔이만 열공중
September 25, 2022, 6:35 PM, 가은 : 눈 아프다...
September 25, 2022, 6:35 PM, 장동건 : Emoticons
September 25, 2022, 6:40 PM, 육지향 : 근데 ㄹㅇ 얘 이렇게 공부하는거 첨 봄
September 25, 2022, 6:41 PM, 육지향 : 진작에 따로 앉아야했어
September 25, 2022, 6:42 PM, 장동건 : Emoticons
September 25, 2022, 6:55 PM, 양유준 : 벌써 잠?
September 25, 2022, 6:56 PM, 장동건 : 눈 아프다해서 자라는거 ㅋㅋㅋ..
September 25, 2022, 7:07 PM, 가은 : 자고 싶다
September 25, 2022, 7:07 PM, 가은 : 어제 5시 반쯤 자가꼬
September 25, 2022, 7:07 PM, 가은 : 10시에 일어났는걸
September 25, 2022, 7:07 PM, 가은 : Emoticons
September 25, 2022, 7:07 PM, 장동건 : 22..
September 25, 2022, 7:10 PM, 가은 : Emoticons
September 25, 2022, 7:10 PM, 장동건 : .
September 25, 2022, 7:42 PM, 가은 : <Photo Unread>
September 25, 2022, 7:42 PM, 가은 : Emoticons
September 25, 2022, 7:42 PM, 장동건 : 🦷가 염색체?
September 25, 2022, 7:42 PM, 가은 : Emoticons
September 25, 2022, 7:43 PM, 장동건 : Emoticons
September 25, 2022, 7:43 PM, 가은 : 사육사 염색채
September 25, 2022, 7:43 PM, 가은 : 체
September 25, 2022, 7:43 PM, 장동건 : 우리 모두는 이가 염색체를 가지고 있..
September 25, 2022, 7:47 PM, 양유준 : 난 염색체 있냐?
September 25, 2022, 7:47 PM, 장동건 : 토핑의 식물세포에 있지 않을까...?
September 25, 2022, 7:48 PM, 양유준 : 불고기 피자니까 고기에 있나?
September 25, 2022, 7:48 PM, 장동건 : 그럴려나..
September 25, 2022, 8:04 PM, 가은 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
September 25, 2022, 8:05 PM, 육지향 : 얘네도 도랐나.....?
September 25, 2022, 8:05 PM, 장동건 : 분열하던애가 익어서 염색체가 있을수 있지
September 25, 2022, 8:05 PM, 육지향 : ㅋㅋㅋㅋㅋ
September 25, 2022, 8:05 PM, 장동건 : 전기에 있던애가 이제 익어서 죽으면
September 25, 2022, 8:06 PM, 가은 : 모르겠다~
September 25, 2022, 8:06 PM, 장동건 : 그대로 고정될거 아님 ㅋㅋㅋ
September 25, 2022, 8:06 PM, 가은 : 헷갈려서 디질거같애
September 25, 2022, 8:06 PM, 가은 : 상동 염색체~
September 25, 2022, 8:06 PM, 가은 : 상염색체 성염색체~
September 25, 2022, 8:06 PM, 가은 : 작작좀 만들어라 그놈의 염색체
September 25, 2022, 8:06 PM, 가은 : Emoticons
September 25, 2022, 8:06 PM, 장동건 : 그러면 너 곧 뒤져
September 25, 2022, 8:06 PM, 가은 : 잘있어
September 25, 2022, 8:06 PM, 장동건 : 잘가
September 25, 2022, 8:06 PM, 장동건 : 멀리 안 나갈게
September 25, 2022, 8:07 PM, 장동건 : ㅂㅇ~
September 25, 2022, 8:07 PM, 가은 : Emoticons
September 25, 2022, 8:07 PM, 장동건 : Emoticons
September 25, 2022, 8:07 PM, 가은 : Emoticons
September 25, 2022, 8:07 PM, 장동건 : Emoticons
September 25, 2022, 9:17 PM, 이가은 : 이가 염색체는 감수분열 한정이니까
September 25, 2022, 9:17 PM, 이가은 : 없을수도?
September 25, 2022, 9:18 PM, 장동건 : 뭐 그럴수 있지
September 25, 2022, 9:19 PM, 장동건 : 일단 피자는 없는게 확실해
September 25, 2022, 9:20 PM, 이가은 : 피자는 세포 자체가 없잖음
September 25, 2022, 9:20 PM, 장동건 : 불고기의
September 25, 2022, 9:20 PM, 장동건 : 고기에 있을수도
September 25, 2022, 9:20 PM, 이가은 : 세포였던것이고 그건
September 25, 2022, 9:20 PM, 장동건 : 있음
September 25, 2022, 9:21 PM, 장동건 : 넓은 범위의 세포지 뭐
September 25, 2022, 9:21 PM, 이가은 : 죽었잖아
September 25, 2022, 9:21 PM, 이가은 : 하긴 뭐
September 25, 2022, 9:21 PM, 이가은 : 민초피자도 피자니까...
September 25, 2022, 9:21 PM, 장동건 : 근데 피자는 
September 25, 2022, 9:22 PM, 장동건 : 그
September 25, 2022, 9:22 PM, 장동건 : 피자의 고기에서
September 25, 2022, 9:22 PM, 장동건 : 유전자를 추출해서
September 25, 2022, 9:22 PM, 장동건 : 복제하면
September 25, 2022, 9:22 PM, 장동건 : 그 복제된 무언가는
September 25, 2022, 9:22 PM, 이가은 : 복제피자인가...
September 25, 2022, 9:22 PM, 장동건 : 피자야 아니면 돼지야?
September 25, 2022, 9:23 PM, 장동건 : 에 대한 논문을 작성하려고 합니다(?)
September 25, 2022, 9:23 PM, 이가은 : 글쎄...
September 25, 2022, 9:23 PM, 이가은 : 한번 해보시죠
September 25, 2022, 9:23 PM, 장동건 : ???: 피자는 유전자종을 분석할수 없으므로 돼지인것으로..
September 25, 2022, 9:33 PM, 가은 : 발목이 진짜 골로갔는데
September 25, 2022, 9:34 PM, 가은 : 와.. 시바 징짜 왜이러냐
September 25, 2022, 9:46 PM, 육지향 : 어뜩함? 
September 25, 2022, 9:46 PM, 육지향 : 집에 뿌리는 파스 이런거 없어?
September 25, 2022, 10:00 PM, 방장봇 : 발닦고 잠이나 자

September 26, 2022, 7:30 AM
September 26, 2022, 7:30 AM, 방장봇 : 해가 중천이여 🔆
일어나 이것들아
September 26, 2022, 8:22 AM, 이가은 : 춥네
September 26, 2022, 8:23 AM, 이가은 : 이제 가을인듯
September 26, 2022, 8:29 AM, 육지향 : 흠... 어제 가은이한테 지각하지 말랬는데 왜 내가 할 거 같지....?
September 26, 2022, 8:30 AM, 육지향 : 하이마트쪽 개밀ㄹ려..
September 26, 2022, 8:30 AM, 장동건 : Emoticons
September 26, 2022, 8:30 AM, 이가은 : 뛰어오시죠
September 26, 2022, 8:30 AM, 장동건 : 날아오시죠
September 26, 2022, 8:31 AM, 이가은 : 그 해피 타고 오시면 될듯
September 26, 2022, 8:31 AM, 장동건 : 호그라이더 ㄱㄱ
September 26, 2022, 8:31 AM, 강은솔 : Emoticons
September 26, 2022, 8:31 AM, 육지향 : Emoticons
September 26, 2022, 8:31 AM, 이가은 : 어 해피다
September 26, 2022, 8:32 AM, 이가은 : Emoticons
September 26, 2022, 8:32 AM, 장동건 : Emoticons
September 26, 2022, 8:32 AM, 장동건 : 얘라도 타고와
September 26, 2022, 8:32 AM, 이가은 : 두 임티가 매우 상반되는군
September 26, 2022, 8:33 AM, 장동건 : 21세기 vs 2세기
September 26, 2022, 8:33 AM, 이가은 : 2세기는 좀
September 26, 2022, 8:33 AM, 장동건 : 이새기..
September 26, 2022, 8:33 AM, 장동건 : Emoticons
September 26, 2022, 8:34 AM, 이가은 : 그래...
September 26, 2022, 8:36 AM, 이가은 : 오늘 해피 청소하나요
September 26, 2022, 8:36 AM, 가은 : ㅋㄱㅋㅋㄱㄱㅋ
September 26, 2022, 8:36 AM, 장동건 : 해피(를) or 해피(가)
September 26, 2022, 8:37 AM, 이가은 : 어...
September 26, 2022, 8:37 AM, 이가은 : 둘다
September 26, 2022, 8:37 AM, 장동건 : ㅇㅎ..
September 26, 2022, 8:38 AM, 육지향 : 오 도착 
September 26, 2022, 8:38 AM, 이가은 : ㅠ...
September 26, 2022, 8:39 AM, 육지향 : 아닠ㅋㅋ
September 26, 2022, 8:39 AM, 육지향 : 왜 아쉬워해
September 26, 2022, 8:42 AM, 가은 : 나 1층인데
September 26, 2022, 8:42 AM, 가은 : 애들 오늘따라 많네
September 26, 2022, 8:42 AM, 가은 : Emoticons
September 26, 2022, 1:59 PM, 장동건 : 왕 체지방률 13%뜸..
September 26, 2022, 3:54 PM, 가은 : 개꿀
September 26, 2022, 3:54 PM, 가은 : 빨리 끝났노
September 26, 2022, 3:54 PM, 장동건 : 넘모 조코~
September 26, 2022, 5:51 PM, 가은 : ec62d6e666aa85cb6a2239aec54b93d17382b3af5acaef89c6ef87a2b0f56f1b.jpg
September 26, 2022, 5:51 PM, 가은 : 발로란트 충이 되어보겠다는 자의
September 26, 2022, 5:52 PM, 육지향 : 가은아.....
September 26, 2022, 5:52 PM, 가은 : 일러스트 쌤치기ㅎㅎ
September 26, 2022, 5:52 PM, 육지향 : ㅋㅋㅋㅌㅌㅌㅋㅋㅋ
September 26, 2022, 5:52 PM, 육지향 : 진짜 딱 게임하는 애 같애
September 26, 2022, 5:52 PM, 가은 : ㅋㅋㄱㅋㄱㄱㄲㅋㄱㅋㄱㅋ
September 26, 2022, 5:52 PM, 가은 : 아니 공식 일러가
September 26, 2022, 5:52 PM, 장동건 : 놀랍게도 사실입니다..?
September 26, 2022, 5:52 PM, 가은 : 나와버렸는걸!!??
September 26, 2022, 5:52 PM, 육지향 : ㅋㅋㅋㅋㅋ
September 26, 2022, 5:53 PM, 가은 : <Photo Unread>
September 26, 2022, 5:53 PM, 가은 : 일러 개잘뽑음..
September 26, 2022, 5:53 PM, 가은 : 어쩔거야 정말
September 26, 2022, 5:53 PM, 장동건 : 자 좀 차가워요~
September 26, 2022, 5:53 PM, 가은 : 종류별로 다해보는중ㅎㅎ
September 26, 2022, 5:54 PM, 장동건 : ???: 냉동인간
September 26, 2022, 5:54 PM, 육지향 : 배경화면 하기 딱 좋네ㅌㅌㅋ
September 26, 2022, 5:54 PM, 육지향 : 근데 얘보단 
September 26, 2022, 5:54 PM, 육지향 : 얘가 완전 게임 할거 같이 생김
September 26, 2022, 5:54 PM, 가은 : ㅋㄱㅋㄱㅋㄱㅋㄱㅋ
September 26, 2022, 5:54 PM, 장동건 : ㄹㅇ
September 26, 2022, 5:55 PM, 육지향 : 아니 나 d-9 남아서
September 26, 2022, 5:55 PM, 가은 : ㅈㄴ 정신사나운것도 잇는뎅
September 26, 2022, 5:55 PM, 육지향 : 특급기출 안줄줄 알았음...
September 26, 2022, 5:55 PM, 육지향 : 근데 줌..
September 26, 2022, 5:55 PM, 육지향 : <Photo Unread>
September 26, 2022, 5:56 PM, 가은 : ㅋ
September 26, 2022, 5:56 PM, 가은 : ㅎ
September 26, 2022, 5:56 PM, 가은 : ㅌ
September 26, 2022, 5:56 PM, 가은 : ㅎ
September 26, 2022, 5:56 PM, 육지향 : 63페이지까지
September 26, 2022, 5:56 PM, 육지향 : 수요일까지 풀어오래
September 26, 2022, 5:56 PM, 육지향 : ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
September 26, 2022, 5:56 PM, 가은 : d401a30880cd5946f0acaee2d55c3aab3ac42e199b496c385748fc34a4b8059c.mp4
September 26, 2022, 5:56 PM, 가은 : 이게 배경화면 !?
September 26, 2022, 5:56 PM, 가은 : 수고햐
September 26, 2022, 5:56 PM, 장동건 : dc51a698c6272ae1499f309e51ed496197ca7746196b47d49aaf2aff583a5785.jpg
September 26, 2022, 5:57 PM, 장동건 : Emoticons
September 26, 2022, 5:57 PM, 가은 : <Photo Unread>
September 26, 2022, 5:57 PM, 가은 : Emoticons
September 26, 2022, 5:57 PM, 장동건 : Emoticons
September 26, 2022, 5:58 PM, 가은 : .
September 26, 2022, 5:58 PM, 가은 : .
September 26, 2022, 5:58 PM, 가은 : .
September 26, 2022, 5:58 PM, 가은 : 세 콤보
September 26, 2022, 5:59 PM, 장동건 : fuckin' 트리오..
September 26, 2022, 5:59 PM, 가은 : Emoticons
September 26, 2022, 7:52 PM, 육지향 : https://www.instagram.com/p/Ci45RcHPoAg/?igshid=YmMyMTA2M2Y=
September 26, 2022, 7:53 PM, 육지향 : 요거 뭔가 반은 맞고 반은 아닌거 가틈.. 
프로필 들어가면 다 계시니 봐봐
September 26, 2022, 7:54 PM, 장동건 : mbti 관련 글 볼때마다 드는 생각인데 
September 26, 2022, 7:54 PM, 장동건 : 보다보면 이것도 맞는거갖고 저것도 맞는거같음
September 26, 2022, 7:57 PM, 육지향 : ㅌㅌㅋㅋㅋ
September 26, 2022, 7:57 PM, 육지향 : ㅇㅈ
September 26, 2022, 7:57 PM, 장동건 : 모둔게 50프로여야 할거같은..
September 26, 2022, 8:11 PM, 육지향 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
September 26, 2022, 8:11 PM, 장동건 : 나만 그래...?
September 26, 2022, 8:15 PM, 이가은 : 보고 싶은데
September 26, 2022, 8:15 PM, 이가은 : 인스타가 없어서 계속 가입하래...
September 26, 2022, 8:17 PM, 장동건 : mbti가 어떻게 되시나요
September 26, 2022, 8:17 PM, 이가은 : 일단 최근에는 intp요
September 26, 2022, 8:17 PM, 이가은 : infp와 intp의 중간 어디쯤..
September 26, 2022, 8:17 PM, 장동건 : https://www.instagram.com/p/CirDeg5hHWA/
September 26, 2022, 8:18 PM, 이가은 : Emoticons
September 26, 2022, 8:18 PM, 이가은 : Emoticons
September 26, 2022, 8:18 PM, 장동건 : Emoticons
September 26, 2022, 8:18 PM, 장동건 : Emoticons
September 26, 2022, 10:00 PM, 방장봇 : 발닦고 잠이나 자
September 26, 2022, 10:07 PM, 장동건 : <Photo Unread>
September 26, 2022, 10:07 PM, 장동건 : 키캡 살건데 뭐가 예쁨?
September 26, 2022, 10:21 PM, 가은 : 내취향은 1
September 26, 2022, 10:21 PM, 가은 : 화이트 배경에 파스텔 컬러 좋음
September 26, 2022, 10:24 PM, 장동건 : 1번이 지금 쓰고있는거...
September 26, 2022, 10:24 PM, 장동건 : ㅋㅋㅋㅋㅋㅋㅋ
September 26, 2022, 11:00 PM, 가은 : ㄷ
September 26, 2022, 11:01 PM, 장동건 : 뭐사지
September 26, 2022, 11:01 PM, 장동건 : 갠적으로는 화이트 카본 or 돌치 괜찮은거 같음
September 26, 2022, 11:03 PM, 가은 : 나는 일단 저기서 안삼
September 26, 2022, 11:03 PM, 가은 : ㅋㅋㅋㅋㅋ
September 26, 2022, 11:03 PM, 가은 : 그래도 고르자면 화이트 카본
September 26, 2022, 11:05 PM, 장동건 : 저기가 저렴하고 꽤 괜찮음
September 26, 2022, 11:05 PM, 장동건 : 일단 킵
September 26, 2022, 11:10 PM, 장동건 : 617f48adbd95cb588ae0d135b6f6b2cf60509e52813bba83a78adb6bc24c5df8.png
September 26, 2022, 11:10 PM, 장동건 : 오

September 27, 2022, 7:30 AM
September 27, 2022, 7:30 AM, 방장봇 : 해가 중천이여 🔆
일어나 이것들아
September 27, 2022, 8:33 AM, 이가은 : 도덕 수행 본 사람
September 27, 2022, 8:34 AM, 이가은 : 묘비명 어떻게 하지
September 27, 2022, 8:35 AM, 장동건 : 안녕히계세요 여러분 전 이세상의 모든 굴레와 속박을 벗어던지고 제 행복을 위해 떠납니다~ 행복하세요~
September 27, 2022, 8:35 AM, 장동건 : 로 하자
September 27, 2022, 8:36 AM, 이가은 : 수행이잖아
September 27, 2022, 8:36 AM, 이가은 : 아니 난 화장할건데
September 27, 2022, 8:36 AM, 장동건 : 저거를 잘 요렇게 써봐
September 27, 2022, 8:36 AM, 이가은 : 왜 묘비명을 정해야하는거지
September 27, 2022, 8:37 AM, 가은 : 시바 긴바지 ㅈ도 없네
September 27, 2022, 8:37 AM, 가은 : 사러가야겠다
September 27, 2022, 8:41 AM, 육지향 : 오늘 봐요
September 27, 2022, 8:42 AM, 육지향 : 오늘 그것때문에 뒤질거 같아요
September 27, 2022, 8:42 AM, 육지향 : ㅋㅋㅋㅋㅋ
September 27, 2022, 8:42 AM, 가은 : 8시 20분에 일어남
September 27, 2022, 8:42 AM, 가은 : 쌤한테 좀 전해줘라 지향아
September 27, 2022, 8:42 AM, 가은 : 나 늦게 일어나서 가고 있다고
September 27, 2022, 8:43 AM, 가은 : @육지향 
September 27, 2022, 8:44 AM, 가은 : 폰냈니
September 27, 2022, 8:44 AM, 가은 : ㅎㅎ..
September 27, 2022, 4:55 PM, 육지향 : 오 이런게 왔었네
September 27, 2022, 4:56 PM, 가은 : Emoticons
September 27, 2022, 6:13 PM, 이가은 : 열공을 하루만에 끝내려고 하는 우리 선생님...
September 27, 2022, 6:19 PM, 장동건 : Emoticons
September 27, 2022, 6:19 PM, 장동건 : Emoticons
September 27, 2022, 6:21 PM, 이가은 : Emoticons
September 27, 2022, 6:24 PM, 가은 : 8c7b929961a90a90acdcc119005a98f51fd0684a0296b51bca7c6a756b282f09.jpg
September 27, 2022, 6:25 PM, 가은 : 왈츠 망치 장난감인데
September 27, 2022, 6:25 PM, 가은 : 모양이 왜 이상하지...?
September 27, 2022, 6:25 PM, 장동건 : Emoticons
September 27, 2022, 6:42 PM, 가은 : Emoticons
September 27, 2022, 6:43 PM, 장동건 : Emoticons
September 27, 2022, 10:00 PM, 방장봇 : 발닦고 잠이나 자

September 28, 2022, 7:30 AM
September 28, 2022, 7:30 AM, 방장봇 : 해가 중천이여 🔆
일어나 이것들아
September 28, 2022, 3:31 PM, 이가은 : 오늘 경제지표가 참
September 28, 2022, 3:31 PM, 이가은 : 하나같이 망했네...
September 28, 2022, 3:31 PM, 장동건 : 곧 나라 뒤질듯
